,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,"$2,484",,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,1,1,$180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,1,1,$200,4,8,"$2,193",8,10,"$2,067",2,5,"$1,076",6,13,"$4,784",,,,,,,,,,,,,,,,1,1,$92,,,,,,,,,,,,,,,,,,
,Grants Total,,"1,046","1,726","$3,177,157","1,070","1,773","$3,122,790","1,014","1,776","$3,058,611","1,111","1,881","$3,476,723","1,116","2,145","$3,745,699","1,383","2,246","$5,055,887","1,559","2,268","$5,750,357","1,743","2,573","$6,454,144","1,684","4,380","$6,476,138","1,785","4,588","$6,941,365","1,798","4,883","$7,367,968","1,621","4,807","$7,026,872","1,485","4,514","$6,476,332","1,428","4,569","$6,186,138","1,266","4,013","$5,978,107","1,537","5,512","$6,156,604","1,463","5,601","$6,244,519","1,847","5,118","$6,021,521","1,652","5,223","$5,986,788","5,669","10,905","$6,473,072","1,173","4,239","$7,651,681"
,,Academic Competitiveness Grant,,,,,,,,,,,,,41,41,"$24,625",50,50,"$42,018",55,55,"$31,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAFYES Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,"$6,500",32,46,"$41,191",32,49,"$39,406",21,34,"$41,493",28,37,"$67,508",18,27,"$98,059",14,21,"$13,372",4,4,"$4,800",16,20,"$10,750",6,8,"$14,392"
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,"$19,500",9,14,"$36,000"
,,Cal Grant B,265,265,"$341,997",263,263,"$324,191",300,300,"$359,833",298,298,"$358,223",252,252,"$295,083",226,226,"$280,882",195,195,"$240,635",239,239,"$285,197",275,480,"$321,145",302,547,"$364,430",332,590,"$438,368",365,649,"$482,103",358,641,"$486,387",380,649,"$490,054",331,551,"$415,388",271,452,"$504,339",237,414,"$429,023",208,323,"$316,469",225,367,"$341,913",317,539,"$595,152",356,591,"$707,409"
,,Cal Grant C,11,11,"$5,040",14,14,"$5,706",13,13,"$4,896",17,17,"$7,488",15,15,"$5,544",9,9,"$3,744",11,11,"$4,248",4,4,"$1,368",9,16,"$3,762",14,26,"$6,293",20,32,"$7,901",23,36,"$9,027",14,24,"$6,156",9,16,"$8,205",21,37,"$18,326",20,33,"$29,304",23,37,"$38,154",8,14,"$17,962",2,3,"$2,094",,,,2,3,"$4,274"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,"$7,500",15,15,"$17,000",,,,,,
,,CARE Grant,54,54,"$25,000",22,22,"$16,875",36,36,"$16,761",45,45,"$17,175",32,32,"$6,575",25,25,"$5,000",24,24,"$5,000",31,31,"$10,850",52,52,"$6,313",39,45,"$9,053",36,45,"$10,250",33,46,"$14,223",36,49,"$14,980",34,44,"$25,655",24,37,"$32,608",16,22,"$28,184",19,22,"$52,000",4,4,"$3,550",12,12,"$10,300",,,,,,
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250","1,250","$494,375","1,279","1,653","$1,319,675","1,681","2,231","$2,128,690","1,299","1,610","$841,121",,,,,,
,,Chafee Grant,,,,,,,,,,,,,3,3,"$12,500",2,2,"$7,500",2,2,"$7,500",3,3,"$12,500",4,5,"$11,667",7,12,"$30,000",3,4,"$10,000",1,1,"$1,250",6,8,"$20,000",6,8,"$20,000",8,12,"$29,875",9,9,"$22,500",5,9,"$22,500",4,6,"$18,750",5,7,"$17,500",9,13,"$32,500",9,14,"$35,000"
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,100,"$75,000",,,,,,,,,,,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,"$10,080",,,,,,,,,,214,214,"$209,506"
,,EOPS Grant,88,88,"$29,400",109,109,"$29,750",129,129,"$28,500",107,107,"$29,372",175,175,"$37,450",95,95,"$18,080",66,66,"$9,623",56,56,"$15,300",33,47,"$10,000",33,44,"$9,800",44,51,"$10,175",107,121,"$20,000",70,91,"$19,284",105,126,"$24,225",61,86,"$11,060",228,257,"$52,275",270,360,"$60,715",147,157,"$102,345",250,411,"$216,505",216,273,"$92,515",212,298,"$136,966"
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,450,"$135,000",295,481,"$144,300",293,480,"$240,000",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"$2,500",,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,101,"$29,300",58,99,"$28,450"
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,614","7,491","$483,635",,,
,,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,41,"$28,654",3,3,"$2,777",4,4,"$16,150",550,556,"$168,954",429,430,"$242,185",337,337,"$170,037",12,16,"$32,949",64,87,"$342,640"
,,Pell Grant,"1,001","1,001","$2,575,387","1,050","1,050","$2,532,842",983,983,"$2,448,017","1,084","1,084","$2,852,514","1,090","1,090","$3,126,497","1,371","1,372","$4,471,752","1,547","1,547","$5,251,168","1,738","1,738","$5,867,933","1,682","2,957","$5,835,201","1,778","3,108","$6,279,989","1,789","2,948","$6,527,968","1,599","2,708","$6,121,469","1,463","2,489","$5,538,634","1,375","2,252","$4,993,963","1,234","2,075","$4,726,977","1,040","1,777","$4,063,676",873,"1,492","$3,317,258",708,"1,198","$2,597,955",843,"1,409","$3,162,739",889,"1,523","$3,906,790","1,031","1,808","$4,749,990"
,,SEOG (Supplemental Educational Opportunity Grant),307,307,"$200,333",315,315,"$213,426",315,315,"$200,604",330,330,"$211,951",537,537,"$237,425",467,467,"$226,911",368,368,"$201,108",502,502,"$260,996",512,823,"$288,050",461,806,"$241,800",870,"1,213","$363,306",468,792,"$237,300",411,685,"$205,400",502,804,"$240,976",496,810,"$243,000",816,"1,307","$392,100",493,725,"$335,400",327,497,"$255,300",513,801,"$533,011",349,557,"$268,879",429,727,"$363,007"
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,368,"$456,603",232,364,"$486,193",187,296,"$392,701",156,231,"$317,443",157,246,"$667,268",237,365,"$1,001,102",246,376,"$1,024,047"
,Loans Total,,28,36,"$100,801",34,42,"$112,840",26,38,"$101,014",21,25,"$66,825",37,58,"$231,350",50,74,"$277,249",69,97,"$379,764",87,141,"$584,963",87,179,"$536,304",85,197,"$595,060",68,186,"$457,844",63,188,"$448,074",47,141,"$352,100",49,123,"$321,071",38,93,"$265,627",34,86,"$236,053",31,70,"$256,285",21,41,"$185,590",26,54,"$224,219",37,75,"$298,658",62,120,"$518,584"
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,1,1,"$4,478",65,65,"$244,833",79,79,"$295,127",74,97,"$267,806",83,107,"$320,843",65,104,"$235,710",59,104,"$218,930",44,73,"$159,659",43,63,"$146,786",35,46,"$123,540",32,43,"$104,471",26,32,"$94,888",18,19,"$70,524",23,26,"$83,882",34,38,"$128,920",56,59,"$224,194"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,31,31,"$123,481",62,62,"$289,836",63,82,"$268,498",69,90,"$274,217",48,80,"$204,134",46,83,"$224,144",39,68,"$192,441",40,59,"$168,285",35,47,"$142,087",28,40,"$116,314",30,36,"$156,129",20,21,"$105,066",24,26,"$113,506",33,36,"$166,988",56,58,"$289,570"
,,Other loan: non-institutional source,,,,,,,,,,,,,,,,,,,1,1,"$11,450",,,,,,,,,,1,2,"$18,000",1,1,"$5,000",,,,1,1,"$6,000",,,,2,2,"$10,000",,,,1,1,"$10,000",1,2,"$26,831",1,1,"$2,750",1,1,"$3,000"
,,PLUS loan: parent loan for undergraduate student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"$5,268",1,2,"$5,268",,,,,,,,,,1,2,"$1,820"
,,"Stafford Loan, subsidized",26,26,"$71,301",30,30,"$78,465",24,24,"$62,101",21,21,"$58,575",36,36,"$139,525",46,46,"$154,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",10,10,"$29,500",12,12,"$34,375",14,14,"$38,913",4,4,"$8,250",22,22,"$91,825",27,27,"$118,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,14,14,"$19,591",11,11,"$16,721",6,6,"$9,676",16,16,"$27,819",7,7,"$5,500",70,70,"$51,078",27,27,"$38,186",38,38,"$43,851",27,38,"$35,969",47,58,"$55,598",24,29,"$22,624",35,43,"$29,300",16,18,"$21,954",16,20,"$26,080",15,22,"$16,612",6,6,"$10,144",1,1,"$3,000",9,9,"$12,128",15,17,"$11,643",35,37,"$27,313",37,37,"$23,364"
,,Scholarship: non-institutional source,14,14,"$19,591",11,11,"$16,721",6,6,"$9,676",16,16,"$27,819",7,7,"$5,500",2,2,"$7,725",9,9,"$13,408",13,13,"$16,423",12,15,"$14,170",14,16,"$25,190",24,29,"$22,624",21,27,"$21,425",16,18,"$21,954",16,20,"$26,080",5,6,"$8,500",6,6,"$10,144",1,1,"$3,000",9,9,"$12,128",15,17,"$11,643",23,23,"$20,522",37,37,"$23,364"
,,Scholarship: Osher Scholarship,,,,,,,,,,,,,,,,5,5,"$4,750",2,2,$875,7,7,"$6,500",5,9,"$4,000",5,5,"$2,500",,,,16,16,"$7,875",,,,,,,10,16,"$8,112",,,,,,,,,,,,,12,14,"$6,791",,,
,,Scholarship: source unknown,,,,,,,,,,,,,,,,63,63,"$38,603",16,16,"$23,903",18,18,"$20,928",10,14,"$17,799",32,37,"$27,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Work Study Total,,81,92,"$143,943",92,95,"$155,007",75,76,"$168,133",88,89,"$172,017",72,72,"$178,033",57,57,"$165,326",55,55,"$133,610",61,61,"$139,188",85,166,"$228,132",76,135,"$208,980",73,127,"$169,781",62,112,"$178,990",58,109,"$179,695",59,104,"$196,792",56,98,"$185,090",63,118,"$268,906",18,34,"$76,116",8,11,"$21,390",22,43,"$100,923",31,57,"$180,437",55,84,"$306,234"
,,California State Work Study (SWS),15,15,"$10,760",3,3,"$2,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EOPS Work Study,1,1,$626,9,9,"$8,621",8,8,"$21,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Federal Work Study (FWS) (Federal share),76,76,"$132,557",83,83,"$143,554",68,68,"$146,407",88,89,"$172,017",72,72,"$178,033",57,57,"$165,326",55,55,"$133,610",61,61,"$139,188",85,166,"$228,132",76,135,"$208,980",73,127,"$169,781",62,112,"$178,990",58,109,"$179,695",59,104,"$196,792",56,98,"$185,090",63,118,"$268,906",18,34,"$76,116",8,11,"$21,390",22,43,"$100,923",31,57,"$180,437",55,84,"$306,234"
Allan Hancock Total,,,"5,070","14,082","$6,722,465","5,382","14,829","$6,853,529","5,613","15,268","$6,823,798","5,655","15,383","$6,940,508","6,283","17,301","$8,390,662","6,930","18,536","$11,189,607","9,085","25,183","$14,448,676","9,445","27,190","$17,756,890","9,193","26,169","$19,932,242","9,465","27,326","$20,724,514","9,702","27,892","$21,235,311","9,627","29,668","$20,839,731","9,377","29,404","$20,556,359","9,167","30,003","$21,458,132","8,680","29,261","$21,967,082","8,434","29,564","$22,766,411","8,457","35,976","$22,837,309","9,245","37,927","$22,284,322","10,950","38,401","$25,696,822","7,323","26,608","$25,582,756","7,330","32,039","$32,824,285"
,California College Promise Grant Total,,"4,999","8,586","$2,003,350","5,310","9,037","$2,180,203","5,565","9,448","$1,985,650","5,613","9,505","$1,703,144","6,210","10,664","$1,891,266","6,869","11,825","$2,713,191","9,035","16,743","$3,525,444","9,367","17,615","$4,840,407","9,087","16,611","$6,347,563","9,300","17,067","$6,680,672","9,519","17,354","$6,747,809","9,416","18,053","$6,711,584","9,132","17,498","$6,565,879","8,950","17,372","$6,408,582","8,445","16,486","$6,289,764","8,164","15,991","$5,734,958","7,074","14,370","$5,394,213","6,423","12,610","$4,705,639","6,244","12,266","$4,576,264","6,859","13,820","$5,194,366","6,549","13,662","$5,145,491"
,,California College Promise - Method A-? (unknown base),501,839,"$191,626",381,619,"$140,245",378,609,"$122,235",408,640,"$113,733",421,688,"$123,253",399,652,"$141,745",27,43,"$8,593",26,42,"$11,372",26,33,"$12,673",25,43,"$17,641",17,37,"$16,537",10,22,"$9,752",12,19,"$7,406",17,26,"$9,361",19,33,"$10,672",25,45,"$12,742",10,16,"$4,508",8,16,"$5,934",11,17,"$6,348",10,16,"$5,957",4,9,"$3,404"
,,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,171,265,"$50,050",142,231,"$56,982",113,181,"$60,674",91,149,"$52,624",71,110,"$35,742",61,104,"$33,695",59,99,"$32,798",37,69,"$22,264",7,16,"$4,991",4,6,"$1,955",1,1,$414,,,,,,,3,8,"$2,622",1,2,$736
,,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,47,82,"$13,975",39,61,"$11,537",30,47,"$12,029",30,47,"$12,190",34,52,"$16,399",31,44,"$12,006",19,29,"$8,579",23,34,"$9,614",8,12,"$2,622",1,3,$552,4,7,"$2,829",1,1,$276,1,1,$138,2,2,$322,,,
,,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,3,3,$676,4,7,"$2,376",4,7,"$1,725",3,3,"$1,058",1,1,$276,7,10,"$4,485",1,2,$874,7,10,"$2,507",,,,1,2,$322,2,2,$414,1,1,$414,2,4,"$1,311",2,5,"$1,794",1,1,$184
,,California College Promise - Method B based on income standards,"2,048","3,183","$686,768","2,401","3,789","$857,655","2,597","4,001","$775,116","2,808","4,352","$723,753","2,882","4,641","$768,237","2,723","4,389","$916,588","5,937","10,885","$2,269,215","5,964","11,053","$3,004,915","5,720","10,186","$3,876,328","5,679","10,290","$3,992,317","5,904","10,629","$4,091,746","5,757","10,858","$4,001,632","5,386","10,142","$3,739,478","5,283","10,110","$3,689,591","4,985","9,462","$3,551,683","4,788","9,135","$3,222,829","3,919","7,674","$2,854,645","3,492","6,621","$2,403,546","3,426","6,457","$2,322,310","3,539","6,820","$2,484,391","2,818","5,669","$2,110,871"
,,California College Promise - Method C based on financial need,"2,478","4,564","$1,124,956","2,555","4,629","$1,182,303","2,643","4,838","$1,088,299","2,449","4,513","$865,658","2,954","5,335","$999,776","3,807","6,784","$1,654,858","2,754","5,262","$1,131,624","3,101","6,006","$1,680,254","3,199","5,967","$2,296,251","3,376","6,344","$2,519,305","3,374","6,300","$2,480,573","3,424","6,753","$2,536,739","3,551","6,972","$2,671,772","3,473","6,887","$2,572,251","3,326","6,765","$2,635,616","3,272","6,649","$2,435,953","3,080","6,539","$2,475,582","2,891","5,907","$2,270,905","2,783","5,744","$2,227,228","3,271","6,893","$2,665,723","3,688","7,900","$2,996,348"
,,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,"$2,599",2,3,$828,,,,1,1,$276,,,,,,,,,
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,3,4,"$1,050",1,3,"$1,978",,,,1,3,"$1,426",1,3,"$1,610",1,3,$690,1,1,$138,,,,3,3,$966,2,3,"$1,909",1,1,$690,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,,,,105,203,"$51,311",101,211,"$71,921",95,187,"$85,905",97,191,"$85,537",117,222,"$105,110",125,259,"$111,665",104,232,"$104,282",109,235,"$102,856",96,191,"$81,581",68,145,"$58,811",56,128,"$53,912",28,62,"$23,598",20,39,"$17,549",32,76,"$33,557",37,81,"$33,948"
,,Fee Waiver – Dependent of (children) of Congressional Medal of Honor recipient (CMH) or CMH recipient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,"$1,380",,,,,,
,Grants Total,,"1,493","4,711","$3,991,392","1,467","5,085","$3,968,608","1,483","5,187","$4,190,821","1,461","5,172","$4,422,497","1,694","5,717","$5,388,277","2,001","5,598","$7,247,843","2,741","7,476","$9,474,821","3,228","8,013","$10,798,488","3,239","7,715","$11,047,822","3,445","8,521","$11,649,527","3,478","8,832","$12,070,150","3,275","9,710","$11,789,458","3,154","9,959","$11,527,987","3,172","10,690","$12,636,317","2,995","10,970","$13,607,485","3,473","11,829","$14,915,962","6,921","20,299","$15,804,869","8,080","24,044","$15,915,283","10,003","24,562","$19,169,344","3,766","11,470","$18,664,118","4,748","17,075","$26,029,596"
,,Academic Competitiveness Grant,,,,,,,10,18,"$7,575",44,69,"$29,175",102,168,"$70,425",142,247,"$100,025",209,368,"$148,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Basic Needs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,310,"$127,374",395,470,"$186,589",290,315,"$130,586"
,,CAFYES Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,"$30,505",50,92,"$188,916",50,90,"$198,794",50,104,"$139,903",57,114,"$136,090",45,94,"$161,018",60,107,"$239,374",58,106,"$220,669",60,107,"$107,033",28,40,"$37,045"
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"$1,500",1,1,"$6,000",6,10,"$25,500",13,19,"$39,750",14,25,"$60,000"
,,Cal Grant B,330,574,"$396,170",346,597,"$413,157",411,703,"$475,943",418,722,"$498,629",396,686,"$470,619",400,683,"$467,002",437,768,"$522,385",423,755,"$516,175",403,704,"$457,061",569,998,"$646,620",689,"1,216","$869,612",745,"1,332","$965,690",836,"1,475","$1,080,507",942,"1,654","$1,218,104",845,"1,491","$1,122,539",883,"1,522","$1,335,492",853,"1,479","$1,243,799","1,014","1,672","$1,453,354",746,"1,253","$1,117,639",937,"1,571","$1,354,996","1,164","1,980","$1,642,378"
,,Cal Grant C,30,47,"$11,088",54,83,"$19,296",48,76,"$18,720",63,97,"$21,528",49,77,"$17,820",36,56,"$13,482",27,39,"$9,216",34,57,"$13,500",51,83,"$17,899",59,93,"$22,102",58,90,"$19,950",41,69,"$15,328",36,53,"$11,721",29,47,"$20,790",41,69,"$31,595",60,81,"$105,048",49,76,"$60,293",22,30,"$26,431",4,5,"$3,642",5,7,"$4,009",29,47,"$41,630"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,"$49,723",,,,,,,,,,44,55,"$56,130"
,,CARE Grant,,,,,,,,,,,,,,,,,,,218,332,"$56,677",154,260,"$46,856",121,166,"$22,145",106,181,"$52,175",92,151,"$34,879",84,127,"$57,677",108,199,"$85,950",109,192,"$87,887",81,149,"$71,220",94,165,"$106,930",64,125,"$61,843",53,116,"$79,737",53,103,"$210,825",56,114,"$287,134",93,173,"$506,489"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,165","10,257","$2,093,325","9,836","14,579","$3,974,508",231,247,"$150,620",,,
